YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600016926,157.67224566,2,1,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600016941,177.47319807,3,2,1,1,1,2,2,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016943,260.67689294,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016945,157.67224566,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016950,177.47319807,3,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016963,177.47319807,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016964,36.209745495,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2016,201600016971,177.47319807,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016975,260.67689294,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016981,62.467137942,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016989,260.67689294,3,2,1,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016995,177.47319807,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017002,62.467137942,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017004,157.67224566,2,2,1,1,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017006,260.67689294,3,2,4,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017023,33.564791216,4,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017057,33.564791216,2,2,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600017062,577.06260139,3,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017065,167.83530671,2,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017069,33.564791216,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017123,367.19319664,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017143,225.80416752,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017146,42.024510971,2,2,1,2,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2
2016,201600017170,86.100736227,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600017191,42.024510971,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2016,201600017230,86.100736227,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017255,42.024510971,3,2,1,2,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
2016,201600017272,86.100736227,2,2,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017282,249.80542958,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017286,60.091008938,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2016,201600017314,157.33485653,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600017348,166.84760409,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017363,256.47416156,3,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017384,154.65979741,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600017388,158.32369924,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017399,27.682313656,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2016,201600017608,188.76069787,3,2,1,1,1,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017625,197.02027472,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600017694,151.65186594,2,2,1,1,1,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600017728,52.3217069,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017781,291.69712198,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017782,167.2367139,3,2,1,1,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017785,141.14367599,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017796,256.47416156,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017799,166.84760409,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017899,291.69712199,3,1,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600017900,58.656429205,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018097,197.02027472,3,2,1,1,1,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018174,348.32450652,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
